octet,bit,scope,command
0,0,OTHER_STANDARD,HCI_Inquiry
0,1,OTHER_STANDARD,HCI_Inquiry_Cancel
0,2,OTHER_STANDARD,HCI_Periodic_Inquiry_Mode
0,3,OTHER_STANDARD,HCI_Exit_Periodic_Inquiry_Mode
0,4,OTHER_STANDARD,HCI_Create_Connection
0,5,OTHER_STANDARD,HCI_Disconnect
0,6,PREVIOUSLY_USED,Previously used
0,7,OTHER_STANDARD,HCI_Create_Connection_Cancel
1,0,OTHER_STANDARD,HCI_Accept_Connection_Request
1,1,OTHER_STANDARD,HCI_Reject_Connection_Request
1,2,OTHER_STANDARD,HCI_Link_Key_Request_Reply
1,3,OTHER_STANDARD,HCI_Link_Key_Request_Negative_Reply
1,4,OTHER_STANDARD,HCI_PIN_Code_Request_Reply
1,5,OTHER_STANDARD,HCI_PIN_Code_Request_Negative_Reply
1,6,OTHER_STANDARD,HCI_Change_Connection_Packet_Type
1,7,OTHER_STANDARD,HCI_Authentication_Requested
2,0,OTHER_STANDARD,HCI_Set_Connection_Encryption
2,1,OTHER_STANDARD,HCI_Change_Connection_Link_Key
2,2,OTHER_STANDARD,HCI_Link_Key_Selection
2,3,OTHER_STANDARD,HCI_Remote_Name_Request
2,4,OTHER_STANDARD,HCI_Remote_Name_Request_Cancel
2,5,OTHER_STANDARD,HCI_Read_Remote_Supported_Features
2,6,OTHER_STANDARD,HCI_Read_Remote_Extended_Features
2,7,OTHER_STANDARD,HCI_Read_Remote_Version_Information
3,0,OTHER_STANDARD,HCI_Read_Clock_Offset
3,1,OTHER_STANDARD,HCI_Read_LMP_Handle
3,2,RESERVED,Reserved for future use
3,3,RESERVED,Reserved for future use
3,4,RESERVED,Reserved for future use
3,5,RESERVED,Reserved for future use
3,6,RESERVED,Reserved for future use
3,7,RESERVED,Reserved for future use
4,0,RESERVED,Reserved for future use
4,1,OTHER_STANDARD,HCI_Hold_Mode
4,2,OTHER_STANDARD,HCI_Sniff_Mode
4,3,OTHER_STANDARD,HCI_Exit_Sniff_Mode
4,4,PREVIOUSLY_USED,Previously used
4,5,PREVIOUSLY_USED,Previously used
4,6,OTHER_STANDARD,HCI_QoS_Setup
4,7,OTHER_STANDARD,HCI_Role_Discovery
5,0,OTHER_STANDARD,HCI_Switch_Role
5,1,OTHER_STANDARD,HCI_Read_Link_Policy_Settings
5,2,OTHER_STANDARD,HCI_Write_Link_Policy_Settings
5,3,OTHER_STANDARD,HCI_Read_Default_Link_Policy_Settings
5,4,OTHER_STANDARD,HCI_Write_Default_Link_Policy_Settings
5,5,OTHER_STANDARD,HCI_Flow_Specification
5,6,OTHER_STANDARD,HCI_Set_Event_Mask
5,7,OTHER_STANDARD,HCI_Reset
6,0,OTHER_STANDARD,HCI_Set_Event_Filter
6,1,OTHER_STANDARD,HCI_Flush
6,2,OTHER_STANDARD,HCI_Read_PIN_Type
6,3,OTHER_STANDARD,HCI_Write_PIN_Type
6,4,PREVIOUSLY_USED,Previously used
6,5,OTHER_STANDARD,HCI_Read_Stored_Link_Key
6,6,OTHER_STANDARD,HCI_Write_Stored_Link_Key
6,7,OTHER_STANDARD,HCI_Delete_Stored_Link_Key
7,0,OTHER_STANDARD,HCI_Write_Local_Name
7,1,OTHER_STANDARD,HCI_Read_Local_Name
7,2,OTHER_STANDARD,HCI_Read_Connection_Accept_Timeout
7,3,OTHER_STANDARD,HCI_Write_Connection_Accept_Timeout
7,4,OTHER_STANDARD,HCI_Read_Page_Timeout
7,5,OTHER_STANDARD,HCI_Write_Page_Timeout
7,6,OTHER_STANDARD,HCI_Read_Scan_Enable
7,7,OTHER_STANDARD,HCI_Write_Scan_Enable
8,0,OTHER_STANDARD,HCI_Read_Page_Scan_Activity
8,1,OTHER_STANDARD,HCI_Write_Page_Scan_Activity
